OS TB 12/05/95 C&D: Source x Race-Cases '94



 Table R56.  Number of nonfatal occupational injuries and illnesses involving days away from work(1) by source of
 injury or illness and race or ethnic origin of worker, 1994
 __________________________________________________________________________________________________________________
                                 |           |         |                                                           
                                 |           |         |                   Race or ethnic origin                   
                                 |           |         |___________________________________________________________
                                 |   Source  | Private |         |         |         |         |         |         
   Cases, cabinets, racks,       |           |         |         |         |         |         |         |         
    shelves......................|      21   |   28,510|   14,912|    2,629|    2,050|      594|      106|    8,219
     Cases, cabinets, racks,     |           |         |         |         |         |         |         |         
      shelves, unspecified.......|     210   |    3,172|    1,783|      234|      143|    -    |    -    |      982
     Bookcases...................|     211   |      259|      133|       58|    -    |    -    |    -    |       45
     Cabinets, cases--display,   |           |         |         |         |         |         |         |         
      storage....................|     212   |    7,670|    4,361|      576|      562|      177|       14|    1,979
     Counters, counter tops......|     213   |    2,176|      965|      134|      178|      101|       12|      786
     Garment racks, other racks..|     214   |    8,732|    4,282|    1,059|      659|      173|       50|    2,509
     Lockers.....................|     215   |      365|      234|       24|       15|    -    |    -    |       90
     Partitions..................|     216   |      312|      156|       11|    -    |    -    |    -    |      138
     Shelving....................|     217   |    4,448|    2,299|      388|      341|       50|    -    |    1,368
