OS TB 12/05/95 C&D: Source x Nature-Inc.Rates '94




 Table R28.  Incidence rates(1) for  nonfatal occupational injuries and illnesses involving days away from work(2) per 10,000 full-time workers by source of injury or illness and selected natures of
 injury or illness, 1994
 __________________________________________________________________________________________________________________________________________________________________________________________________________
                                 |         |         |                                                                                                                                                     
                                 |         |         |                                                             Nature of injury or illness                                                             
                                 |         |         |_____________________________________________________________________________________________________________________________________________________
                                 |         |         |         |         |         |         |         |         |         |         |         |                             |                   |         
                                 |         |         |         |         |         |         |         |         |         |         |         | Multiple traumatic injuries |Back pain and pain,|         
                                 |         |         |         |         |         |         |         |         |         |         |         |        and disorders        |    except back    |         
              Source             |  Source |  Total  |         |         |         |         |         |         |         |         |         |_____________________________|___________________|   All   
                                 | code (3)|  cases  | Sprains,|         |  Cuts,  |         |   Heat  | Chemical| Amputa- |  Carpal | Tendon- |         |         |         |         |         |  other  
       Kerosene, heating oil.....|    0843 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Lubricating greases,      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        cutting oils.............|    0844 |    0.2  |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Propane...................|    0845 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other petroleum fuels,    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        distillates, and products|    0849 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other coal, natural gas,    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      petroleum fuels and        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      products...................|     089 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Other chemicals...............|      09 |    0.7  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.5  
     Ammonia and ammonium        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      compounds..................|     091 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Ammonia and ammonium      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        compounds, unspecified...|    0910 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Ammonia, anhydrous ammonia|    0911 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Ammonia and ammonium      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        compounds, n.e.c. .......|    0919 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cyanide and cyanide         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      compounds, n.e.c. .........|     093 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Multiple cyanides.........|    0938 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Oxygen and oxygen compounds,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|     094 |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
       Carbon monoxide...........|    0941 |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.2  
       Carbon dioxide, dry ice...|    0942 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Nitrogen oxides...........|    0943 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Plastics, resins............|     095 |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Plastics, unspecified.....|    0950 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Resins....................|    0952 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Plastics, n.e.c. .........|    0959 |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
